Sr No,Date,Startup,Vertical,SubVertical,City,Investors,Investment Round,Amount in INR(cr)
1159,2016-12-16,tripshelf,Consumer Internet,Online Lending Platform,delhi,"gems advisory, quarizon",seed funding,1.07
1160,2016-12-19,events high,Consumer Internet,Online Lending Platform,bangalore,a ventures,private equity,
1161,2016-12-19,nobroker,Consumer Internet,Online Lending Platform,bangalore,"ktb network, saif partners, beenext, digital garage",private equity,64.08
1162,2016-12-20,vivocarat,E-commerce,Online Pharmacy,mumbai,undisclosed investors,seed funding,0.43
1163,2016-12-20,tiyo,Consumer Internet,Online Lending Platform,kolkata,ajith nair,seed funding,
1164,2016-12-20,zoomcar,Consumer Internet,Online Lending Platform,bangalore,cyber carrier cl,private equity,
1165,2016-12-20,byju's,Consumer Internet,Online Lending Platform,bangalore,international financial corporation,private equity,129.9
1166,2016-12-21,supr daily,Consumer Internet,Online Lending Platform,mumbai,"dr. apoorv ranjan sharma, anil jain, anuj golecha, krishna jhunjhunwala, anirudh damani",seed funding,
1167,2016-12-21,the bluebook,Consumer Internet,Online Lending Platform,bangalore,"indian angel network, let venture",seed funding,4.33
1168,2016-12-21,mamaearth,E-commerce,Online Pharmacy,delhi,fireside ventures & others,seed funding,
1169,2016-12-21,vegetall,E-commerce,Online Pharmacy,chennai,the chennai angels,seed funding,1.4
1170,2016-12-22,innoplexus,Technology,Data Analytics Platform,pune,hcs venture capital fund,private equity,
1171,2016-12-22,mindler,Consumer Internet,Online Lending Platform,delhi,ta,seed funding,2.81
1172,2016-12-22,mcaffeine,E-commerce,Online Pharmacy,bangalore,"kaushal agarwal, harminder sahani, kk mehra, pranay jivrajka, navjot saini",seed funding,2.6
1173,2016-12-23,enkast,Technology,Data Analytics Platform,bangalore,ivy league alumni angel network,private equity,17.32
1174,2016-12-23,shopkirana,E-commerce,Online Pharmacy,indore,"incubate fund, lead angels group & others",private equity,
1175,2016-12-23,myadvo,Consumer Internet,Online Lending Platform,delhi,"pradyumna dalmia, s. somasegar & others",seed funding,
1176,2016-12-23,asocon,Technology,Data Analytics Platform,noida,quarizon,seed funding,
1177,2016-12-23,lexcomply,Consumer Internet,Online Lending Platform,delhi,ajay relan,seed funding,
1178,2016-12-26,the postbox,E-commerce,Online Pharmacy,chennai,"the chennai angels, ritesh mehta, aruna ganesh ram",seed funding,
1179,2016-12-26,pandorum technologies,Technology,Data Analytics Platform,bangalore,"sachin bansal, binny bansal",seed funding,
1180,2016-12-26,dekkho,Consumer Internet,Online Lending Platform,mumbai,undisclosed investors,seed funding,10.39
1181,2016-12-26,shadowfox,Logistics,B2B Logistics Provider,gurgaon,eight roads ventures,private equity,86.6
1182,2016-12-27,shopx,E-commerce,Online Pharmacy,bangalore,nandan nilekani,private equity,43.3
1183,2016-12-28,bookeventz,Consumer Internet,Online Lending Platform,mumbai,"lead angels, mumbai angels, letsventure, girish mathrubootham, anbu pandian",seed funding,
1184,2016-12-29,healthifyme,Consumer Internet,Online Lending Platform,bangalore,nb ventures,private equity,8.66
1185,2016-12-29,letsmd,Consumer Internet,Online Lending Platform,delhi,"waterbridge ventures,",seed funding,
1186,2016-12-29,justbooks,Consumer Internet,Online Lending Platform,bangalore,cocreate ventures,seed funding,
1187,2016-12-30,instantpay,Consumer Internet,Online Lending Platform,delhi,"rb investments, kaleden holdings",private equity,
1188,2016-11-01,pickmylaundry,Consumer Internet,Online Lending Platform,delhi,"kedar lele, ghv accelerator",seed funding,1.73
1189,2016-11-02,freshdesk,Consumer Internet,Online Lending Platform,chennai,"sequoia capital india, accel partners",private equity,476.3
1190,2016-11-02,laundryanna,Consumer Internet,Online Lending Platform,bangalore,undisclosed investors,seed funding,1.3
1191,2016-11-02,letsmd,Consumer Internet,Online Lending Platform,delhi,"calcutta angels network, letsventure, anupam mittal, currae healthtech fund",seed funding,
1192,2016-11-02,sattviko,Food & Beverage,Qsr Chain,delhi,"raman roy, ashish gupta, yogesh andlay, vaibhav jain",seed funding,
1193,2016-11-03,zarget,Technology,Data Analytics Platform,chennai,sequoia india,private equity,51.96
1194,2016-11-03,doselect,Consumer Internet,Online Lending Platform,bangalore,"3one4 capital, mumbai angels, aarin capital",seed funding,
1195,2016-11-03,easypolicy,Consumer Internet,Online Lending Platform,noida,"unilazer ventures,",private equity,86.6
1196,2016-11-04,browntape,Technology,Data Analytics Platform,goa,gati ltd,private equity,
1197,2016-11-04,connect india,Logistics,B2B Logistics Provider,bangalore,aavishkaar venture management,private equity,8.66
