Sr No,Date,Startup,Vertical,SubVertical,City,Investors,Investment Round,Amount in INR(cr)
2524,2015-08-14,vanitycube,On-Demand Beauty Services,Unknown,delhi,group of angel investors,seed funding,
2525,2015-08-17,edu4share,E Preparation Platform,Unknown,delhi,nalin jain & other angel investors,seed funding,1.91
2526,2015-08-17,yourstory,Startup Focused Online Publisher,Unknown,mumbai,"ratan tata, vani kola, t v mohandas pai, karthee madasamay",seed funding,
2527,2015-08-17,sampurnearth,Waste Management Solutions,Unknown,mumbai,"intellecap impact investment network, family office fund",seed funding,1.39
2528,2015-08-17,orobind,App Based Fitness Coaching,Unknown,bangalore,e & new investors,private equity,
2529,2015-08-17,fixy,On Demand Cleaning & Fi Services,Unknown,mumbai,venturenursery,seed funding,
2530,2015-08-17,msm box,Beauty & Lifestyle Platform,Unknown,delhi,rohit goel,seed funding,
2531,2015-08-17,shadowfax,On-Demand Delivery Service,Unknown,gurgaon,"kunal bahl, rohit bansal, zishaan hayath, prashant malik",seed funding,2.68
2532,2015-08-17,gadgets 360,Car & Bike E-commerce Platform,Unknown,delhi,one97 communications,private equity,
2533,2015-08-18,roposo,Fashion Discovery Platform,Unknown,gurgaon,tiger global,private equity,129.9
2534,2015-08-18,intelligencenode,Data Analytics Platform,Unknown,mumbai,"new enterprise associates, orios venture partners",private equity,36.37
2535,2015-08-18,hyperverge,Deep Learning Cloud Algorithms,Unknown,chennai,"nea, milliways ventures, naya ventures",seed funding,8.66
2536,2015-08-18,twyst,Location Based Engagement & Rewards Platform,Unknown,gurgaon,"rohit bhatia, sunil nikhar, vaibhav domkundwar, siddharth nautiyal",seed funding,
2537,2015-08-18,idfy,Online Identity Verification Services Platform,Unknown,mumbai,"nea, blume ventures & others",private equity,
2538,2015-08-18,zoojoo.be,Corporate Wellness App,Unknown,bangalore,roundglass partners,private equity,8.66
2539,2015-08-19,fashionove,Fashion Search & Review Platform,Unknown,kolkata,umesh yadav,seed funding,
2540,2015-08-19,timesaverz,"Hyperlocal Maintenance, Repair & Cleaning Services",Unknown,mumbai,unilazer ventures,private equity,20.78
2541,2015-08-19,envoged,Pre-Owned Lu Online Apparel Seller,Unknown,mumbai,"manish dhingra, ankush nijhawa, gaurav bhatnagar",seed funding,
2542,2015-08-19,mebelkart,Online Furniture Marketplace,Unknown,bangalore,askme,private equity,173.2
2543,2015-08-20,labsadvisor,Online Diagnostic Tests Marketplace,Unknown,delhi,group of angel investors,seed funding,1.35
2544,2015-08-20,flatpebble,Online Marketplace For Photographers,Unknown,hyderabad,indian angel network,seed funding,5.2
2545,2015-08-20,bluegape,Visual Blogging Platform,Unknown,delhi,"ah ventures, times internet, rudy gopalakrishnan",seed funding,5.2
2546,2015-08-21,epoise,Job Search Platform,Unknown,bangalore,"orios venture partners, amit ranjan & others",seed funding,4.33
2547,2015-08-24,jolly food fellow,Food Customer Analytics Platform,Unknown,ahmedabad,the 1947,seed funding,2.6
2548,2015-08-24,bookmein,Professional Service Appointment Booking Service,Unknown,mumbai,ajmera group of companies,seed funding,3.46
2549,2015-08-24,izofy,Scientific Horoscope Online Assistance Platform,Unknown,kolkata,prime capital markets ltd,seed funding,
2550,2015-08-24,rbus,Tech Enabled Ac Bus Service,Unknown,mumbai,"india quotient, anupam mittal & others",seed funding,
2551,2015-08-25,qyk app,On-Demand App Based Professional Service Provider,Unknown,bangalore,"growx ventures, tracxn labs, powai lake ventures, and sahil barua",private equity,8.66
2552,2015-08-25,eazydiner,Restaurant Reservation Platform,Unknown,gurgaon,"dsg consumer partners, saama capital",private equity,25.98
2553,2015-08-25,revx,Cross-Channel Crm Platform,Unknown,mumbai,"norwest venture partners, ne venture partners, helion venture partners, draper fisher jurvetson, peepul capital",private equity,34.64
2554,2015-08-25,icustommadeit,Professional Custom Creators Marketplace,Unknown,pune,group of angel investors,seed funding,2.16
2555,2015-08-26,pickmylaundry,On-Demand Washing & Dry-Cleaning,Unknown,delhi,ghv accelerator,seed funding,0.87
2556,2015-08-26,belita,On-Demand Beauty Service,Unknown,mumbai,"india quotient, letsventure investors, lead angels",seed funding,3.46
2557,2015-08-26,ezysolare,Solar Products And Services Marketplace,Unknown,ahmedabad,infuse ventures,seed funding,
2558,2015-08-26,foodtalkindia,Online Food Community Platform,Unknown,gurgaon,undisclosed investor,seed funding,4.33
2559,2015-08-27,instasafe,Private Cloud Networks Saas Platform,Unknown,bangalore,group of investors,seed funding,
2560,2015-08-27,eazy coach,Education Marketplace,Unknown,kolkata,ravi agarwal,seed funding,
2561,2015-08-27,djubo,Cloud Based Hotel Sales Platform,Unknown,delhi,ibibo group,private equity,
2562,2015-08-28,betterbutter,Online Recipe Sharing Platform,Unknown,delhi,"growx ventures, manish singhal",seed funding,
2563,2015-08-28,vyomo,Beauty & Lifestyle Mobile Marketplace,Unknown,bangalore,rocket internet,private equity,17.32
2564,2015-08-28,rollmafia,Qsr Restaurant Chain,Unknown,pune,equentia natural resources,seed funding,1.39
2565,2015-08-29,iamwire,Digital Media Publishing Platform,Unknown,gurgaon,"li tao, li jian, draphant consultants, nitin garg, saurabh jain, mohit agarwal",seed funding,
2566,2015-08-31,dropkaffe,Online Coffee Delivery Platform,Unknown,bangalore,"manish singhal, p39 capital & others",seed funding,2.6
2567,2015-08-31,reverie,Language Localization Cloud Platform,Unknown,bangalore,"aspada investment advisors, qualcomm ventures",private equity,34.64
2568,2015-08-31,infinite analytics,Big Data & Predictive Analysis Platform,Unknown,mumbai,"ratan tata, nikhil vora & others",private equity,
2569,2015-07-01,parcelled,Online Logistics Platform,Unknown,bangalore,"delhivery, tracxn labs",seed funding,
2570,2015-07-01,retigence technologies,Business It Intelligence Services,Unknown,mumbai,omnivore partners,private equity,
2571,2015-07-01,cloudcherry analytics,Crm Analytics Platform,Unknown,chennai,"the chennai angels, idg ventures india",seed funding,8.66
2572,2015-07-01,handyhome,Hyperlocal Electronics Repair Service,Unknown,mumbai,"bessemer ventures, kae capital",seed funding,5.46
2573,2015-07-01,idreamcareer,Ed-Tech Platform,Unknown,delhi,"ah ventures, vivek joshi, mohit satyanand & others",seed funding,
2574,2015-07-01,ola cabs,Cab Rental Mobile App,Unknown,bangalore,ratan tata,private equity,
2575,2015-07-01,nxtgen,It Infrastructure & Data Center Services,Unknown,bangalore,"ifc, a partners, intel capital",private equity,116.91
2576,2015-07-02,bankbazaar,Online Financial Services,Unknown,chennai,"amazon, fidelity growth partners, mousse partners",private equity,519.6
2577,2015-07-02,gozoomo,Used Car Marketplace,Unknown,bangalore,saif partners,private equity,43.3
2578,2015-07-02,zenatix,Internet Of Things Platform,Unknown,gurgaon,"rajan anandan, kunal bahl, rohit bansal, rahul khanna",seed funding,1.39
2579,2015-07-03,culturealley,Language Learning App,Unknown,jaipur,tiger global,private equity,56.29
2580,2015-07-03,goqii,Mobile Fitness Marketplace,Unknown,mumbai,vijay shekhar sharma,private equity,
2581,2015-07-03,gingercrush,Custom Merchandize Platform,Unknown,ahmedabad,"gokul jaykrishna, brand capital",seed funding,8.66
2582,2015-07-04,elanic,P2P Pre-Owned Goods Marketplace,Unknown,bangalore,"rebright partners, tracxn labs, aneesh reddy",seed funding,
2583,2015-07-04,stitchwood,Custom Furniture Marketplace,Unknown,mumbai,"powai lake ventures, ajeet khurana & others",seed funding,3.42
2584,2015-07-05,urban tailor,Online Tailoring Services,Unknown,bangalore,group of angel investors,seed funding,
2585,2015-07-06,confirmttkt,Rail Ticket Confirmation Predictor,Unknown,bangalore,pravin agarwala & others,seed funding,
2586,2015-07-06,paper boat,Ethnic Beverages Manufacturer,Unknown,gurgaon,"sofina, hillhouse capital",private equity,259.8
2587,2015-07-06,getnow,Hyperlocal Goods Marketplace,Unknown,nagpur,atulya mittal,seed funding,
2588,2015-07-07,wudstay,Budget Accommodation Aggregator,Unknown,gurgaon,"mangroves capital partners, vikas sa",private equity,25.98
2589,2015-07-07,liases foras,Real Estate Rating & Analysis,Unknown,delhi,dmg information asia pacific,private equity,43.3
2590,2015-07-07,eatlo,Food Delivery Platform,Unknown,bangalore,"powai lake ventures, globeinvestor, abhishekh goyal",seed funding,
2591,2015-07-07,indialends,Financial Tech,Digital Onboarding Solution,delhi,"dsg consumer partners, siddharth parekh",private equity,
2592,2015-07-08,quinto,Food Discovery App,Unknown,pune,jaydeep barman,seed funding,
2593,2015-07-08,saavn,Music Streaming App,Unknown,mumbai,"tiger global management, bertelsmann india, steadview capital, liberty media, mousse partners, quilvest",private equity,866.0
2594,2015-07-08,flytxt,Big Data & Analytics Platform,Unknown,trivandrum,"sunrise capital gmbh, big data investments b.v",private equity,95.26
2595,2015-07-08,axtria,Big Data & Analytics Platform,Unknown,gurgaon,"helion venture partners,amarpreet sawhney, deshpande foundation, fred khosravi, richard s. braddock",private equity,259.8
2596,2015-07-08,33coupons,Coupon Aggregator Platform,Unknown,kanpur,not disclosed,seed funding,0.17
2597,2015-07-08,ampere,Electric Scooter Manufacturer,Unknown,coimbatore,ratan tata,seed funding,
2598,2015-07-08,hopping chef,Online Food-Tech Platform,Unknown,mumbai,mirah hospitality,seed funding,4.07
2599,2015-07-08,collectabillia,Celebrity Fashion Brand,Unknown,bangalore,accel partners,private equity,64.95
2600,2015-07-08,lendingkart,Online Finance Lending Platform,Unknown,ahmedabad,"saama capital, mayfield, ashvin chadha, shailesh mehta",private equity,86.6
2601,2015-07-08,lybrate,Healthcare Mobile App,Unknown,delhi,"tiger global management, ratan tata, ne venture partners",private equity,88.33
2602,2015-07-08,zoomcar,Self-Driven Vehicle Rental,Unknown,bangalore,"sequoia capital, empire angels, ngp",private equity,95.26
2603,2015-07-09,news in shorts,News Aggregator Mobile App,Unknown,noida,tiger global,private equity,173.2
2604,2015-07-09,bluestone,Online Jewellery Store,Unknown,bangalore,"ivycap ventures, accel partners, dragoneer investment group",private equity,140.29
2605,2015-07-09,shopsity,Fashion Info Aggregator App,Unknown,gurgaon," sandeep aggarwal, teruhide sato",seed funding,0.0
2606,2015-07-09,notesgen,Online Study Notes Marketplace,Unknown,delhi,"rajeev saraf, arvind jha, r. satya narayanan",seed funding,0.0
2607,2015-07-10,infinity assurance,Warranty Programs Service Administration,Unknown,delhi,indian angel network,seed funding,5.2
2608,2015-07-10,footprints education,Pre-School Chain,Unknown,gurgaon,"letsventure, kumar bansal, kshitij jain",seed funding,5.93
2609,2015-07-10,loylty rewards,Premium Loyalty Rewards Point Management,Unknown,mumbai,indianideas.com,private equity,167.57
2610,2015-07-13,ameyo,Contact Center Software Platform,Unknown,gurgaon,forum synergies pe fund,private equity,43.3
2611,2015-07-13,mamagoto,Casual Dining Restaurant Chain,Unknown,delhi,goldman sachs,private equity,86.6
2612,2015-07-13,satvacart,Online Grocery Delivery,Unknown,gurgaon,palaash ventures,seed funding,0.0
2613,2015-07-14,mysmartprice,Online Comparison Engine,Unknown,hyderabad,"accel partners, helion venture partners",private equity,86.6
2614,2015-07-14,zenify,Residential Rental Management Platform,Unknown,bangalore,atul jalan,seed funding,0.0
2615,2015-07-14,boxmyspace,Physical Storage Warehouses,Unknown,mumbai,"ritesh veera, singapore angel network, orios venture partners,",seed funding,2.6
2616,2015-07-14,hackerrank,Tech Recruitment Platform,Unknown,bangalore,hr technology fund,private equity,64.95
2617,2015-07-14,wickedride,Bike Rental Platform,Unknown,bangalore,undisclosed,seed funding,6.84
2618,2015-07-14,wowexpress,Tech Enabled Logistics Platform,Unknown,mumbai,tamarind family private trust,seed funding,4.33
2619,2015-07-15,oyo rooms,Budget Hotel Accommodation,Unknown,gurgaon,"softbank, sequoia capital",private equity,866.0
2620,2015-07-15,mobikon,Restaurant Customer Engagement Platform,Unknown,pune,jungle ventures,private equity,19.92
2621,2015-07-15,instalively,Live Video Streaming App,Unknown,delhi,"anupam mittal, anand chandrasekaran, uday shankar, chetan bhagat",seed funding,
2622,2015-07-15,roadrunnr,Hyper Local Logistics Platform,Unknown,bangalore,"sequoia capital, ne venture partners, blume ventures",private equity,95.26
2623,2015-07-16,ketto,Crowd Funding Platform,Unknown,mumbai,"pradyumna dalmia, sudhir rao & others",seed funding,6.06
2624,2015-07-17,quikwallet,F&B Sector Mobile Payment Platform,Unknown,mumbai,snow leopard technology ventures,private equity,13.86
2625,2015-07-17,omnikart,Industrial Supplies B2B E-commerce,Unknown,mumbai,"sumit gandhi, manish gandhi",seed funding,0.87
2626,2015-07-20,zo rooms,Online Budget Hotel Chain,Unknown,delhi,"tiger global, orios venture partners.",private equity,129.9
2627,2015-07-20,innoviti,Payment Solutions Platform,Unknown,bangalore,"catamaran ventures, new india investment corporation",private equity,42.0
2628,2015-07-21,zenradius,Online Hiring Platform,Unknown,bangalore,"tracxn labs, deepak singh",seed funding,
2629,2015-07-21,joy by nature,Organic Food E-commerce,Unknown,delhi,"mumbai angels, vriddhi fund, others",private equity,8.66
2630,2015-07-22,iqlect,Big Data & Analytics Platform,Unknown,bangalore,e venture partners,private equity,17.32
2631,2015-07-22,degustibus,Fine Dining Restaurant Chain,Unknown,mumbai,india value fund advisors,private equity,259.8
2632,2015-07-23,nestaway,Lu Rental Homes,Unknown,bangalore,"flipkart, tiger global",private equity,110.42
2633,2015-07-23,mswipe,Mobile Point Of Sale Payment Solution,Unknown,undisclosed,"falcon edge capital, meru capital, ola, matrix partners, dsg consumer partners, a bank",private equity,216.5
2634,2015-07-23,myonsto,Online Grocers,Unknown,ahmedabad,jayant bokadia,seed funding,2.77
2635,2015-07-23,icrushiflush,Casual Dating App,Unknown,mumbai,idg ventures india,seed funding,
2636,2015-07-23,medgenome,Clinical Genomics Provider,Unknown,bangalore,sequoia capital,private equity,173.2
2637,2015-07-23,holidayiq,Travel Information Portal,Unknown,bangalore,makemytrip,private equity,129.9
2638,2015-07-23,fitternity,Fitness Marketplace,Unknown,mumbai,e venture partners,private equity,8.66
2639,2015-07-23,quikr,Online & Mobile Classified Listings,Unknown,mumbai,"ab kinnevik, falcon edge capital, coatue management",private equity,519.6
2640,2015-07-23,jetsetgo,Private Jet Helicopter Marketplace,Unknown,delhi,yourwecan ventures,seed funding,
2641,2015-07-24,broex,Real Estate Broker Network App,Unknown,gurgaon,lightspeed india,private equity,8.66
2642,2015-07-25,shopatplaces,Ethnic Traditional Fashion Store,Unknown,delhi,indian angel network,seed funding,
2643,2015-07-25,credr,Used Bikes Marketplace,Unknown,mumbai,fidelity growth partners,private equity,129.9
2644,2015-07-27,managemyspa,Spa & Salon Management Software,Unknown,hyderabad,accel partners,private equity,51.96
2645,2015-07-27,townrush,B2B Logistics Delivery Platform,Unknown,bangalore,lightspeed venture partners,seed funding,
2646,2015-07-27,locus,Logistics Automation Platform,Unknown,bangalore,"growx ventures, manish singhal",seed funding,
2647,2015-07-27,bevy,Online Hiring Platform,Unknown,bangalore,varun agarwal & others,seed funding,
2648,2015-07-28,pepperfry,Online Home D Marketplace,Unknown,mumbai,"goldman sachs, zodius technology fund, bertelsmann india investments norwest venture partners.",private equity,866.0
2649,2015-07-28,flipkart,Online Marketplace,Ecommerce,bangalore,steadview capital and e investors,private equity,6062.0
2650,2015-07-28,opinio,Hyperlocal Food & Grocery Store,Unknown,bangalore,"accel partners, tra labs & others",seed funding,11.26
2651,2015-07-28,zoctr,Health-Tech Platform,Unknown,mumbai,"sandeep parwal, krishan gupta & others",seed funding,8.66
2652,2015-07-29,zimmber,Hyperlocal Handyman Services,Unknown,mumbai,"idg ventures india, omidyar network, sherpalo ventures, mohandas pai",private equity,17.32
2653,2015-07-29,truehb,Medical Tech Instruments,Unknown,delhi,"sachin and binny bansal, malvinder and shivinder singh, gurpreet singh & others",seed funding,20.78
2654,2015-07-29,zovi.com little app,Hyperlocal Deals Marketplace,Unknown,bangalore,"paytm, saif partners, tiger global management & others",private equity,433.0
2655,2015-07-29,swajal,Innovative Water Solutions,Unknown,gurgaon,abhishek gupta,private equity,10.39
2656,2015-07-30,pipa bella,Online Jewelry Store,Unknown,mumbai,lionrock capital,private equity,5.2
2657,2015-07-30,pragmatix,Business Intelligence & Analytics,Unknown,mumbai,sidbi venture capital ltd,private equity,20.78
2658,2015-07-30,droom,Used Vehicle Marketplace,Unknown,delhi,"lightbox ventures, beenos",private equity,138.56
2659,2015-07-30,madrat games,Educational Board Games,Unknown,bangalore,"kunal bahl, rohit bansal",seed funding,1.45
2660,2015-07-30,noodle play,Chinese Food Delivery,Unknown,mumbai,"elliot stechman, gautam sinha, ambarish ray",seed funding,1.45
2661,2015-07-30,wassup,On-Demand Laundry & Dry Cleaning App,Unknown,chennai,b s nagesh,private equity,
2662,2015-07-30,cartisan,On-Demand Car Services App,Unknown,bangalore,"youwecan ventures, aprameya radhakrishna",seed funding,
2663,2015-07-31,lazylad,Hyperlocal Grocery App,Unknown,gurgaon,"jai choi, kiyohiro sugashita, hirokazu",private equity,4.33
2664,2015-07-31,tripfactory,Online Curated Holiday Package Bookings,Unknown,bangalore,"aarin capital partners,",private equity,
2665,2015-07-31,prothom,Hasbro Toy Manufacturer,Unknown,pune,oliphabs capital,private equity,17.32
2666,2015-07-31,bona vita,Travel Tech,Platform For Travel Agents,gurgaon,makemytrip,private equity,43.3
2667,2015-06-01,vyomo,Beauty And Wellness Platform,Unknown,delhi,aprameya radhakrishna,seed funding,
2668,2015-06-01,veeba foods,Healthy Food Manufacturer,Unknown,delhi,"dsg consumer partners, saama capital.",private equity,51.96
2669,2015-06-01,truebil,Used Car Marketplace,Unknown,mumbai,"kae capital, anupam mittal",seed funding,4.33
2670,2015-06-01,meritnation,Online Learning Platform,Unknown,delhi,infoedge,private equity,34.64
2671,2015-06-01,eattreatonline,Healthy Food Online Community,Unknown,delhi,group of 15 angel investors,seed funding,3.03
2672,2015-06-01,credr,Used Two-Wheeler Marketplace,Unknown,mumbai,growthstory,seed funding,
2673,2015-06-01,glamrs,Online Fashion Video Portal,Unknown,mumbai,"ventureworks india, blume ventures, batlivala & karani securities, nikunj jhaveri",private equity,8.66
2674,2015-06-01,proviera,Probiotic Technology Products Manufacturer,Unknown,chennai,infuse ventures,private equity,4.76
2675,2015-06-01,arth designbuild,Architectural Design & Consulting,Unknown,hyderabad,srinivas tirupati,seed funding,4.33
2676,2015-06-02,saama,Big Data & Analytics Services,Unknown,out of india,carrick capital partners,private equity,303.1
2677,2015-06-02,allizhealth,Preventive Healthcare Services,Unknown,pune,mumbai angels & other angel investors,seed funding,3.03
2678,2015-06-02,karma healthcare,Tech-Enabled Rural Healthcare Services,Unknown,udaipur,ennovent impact investment holding,private equity,
2679,2015-06-03,entropy innovations,Engineering Innovations,Unknown,mumbai,mark mobius & 9 other angel investors,seed funding,
2680,2015-06-03,propstack,Real Estate Intelligence Platform,Unknown,mumbai,dmg information,private equity,25.98
2681,2015-06-03,mytaxiindia,Online Car Rental Affiliates,Unknown,delhi,green house ventures,seed funding,0.87
2682,2015-06-03,arkin net,Data Center Software Platform,Unknown,out of india,ne venture partners,private equity,129.9
2683,2015-06-03,little black book delhi,Online City & Lifestyle Guide,Unknown,delhi,"rajan anandan, niraj singh, sachin bhatia, singapore angel network & aseem vadehra",seed funding,1.3
2684,2015-06-03,mypoolin,P2P Payments Platform,Unknown,delhi,"sharad sharma, rajan anandan, sunil kalra, amit ranjan, rohan malhotra, arjun malhotra, gautam gandhi",seed funding,
2685,2015-06-03,icustomadeit,Bespoke Merchandize Marketplace,Unknown,pune,"virendra shahney, dr paresh doshi",seed funding,2.16
2686,2015-06-03,kaaryah,Women Lifestyle Marketplace,Unknown,gurgaon,ratan tata,seed funding,
2687,2015-06-04,ecom express,Logistics Solution Provider,Unknown,delhi,warburg pincus,private equity,1186.42
2688,2015-06-04,vidooly,Video Intelligence Platform,Unknown,noida,bessemer venture partners,private equity,8.66
2689,2015-06-04,zopper,Hyperlocal Shopping App,Unknown,mumbai,"tiger global, nirvana ventures advisors",private equity,173.2
2690,2015-06-04,flipkart,E-commerce Platform,Unknown,bangalore,morgan stanley,private equity,433.0
2691,2015-06-05,kwatt solutions,Renewable Energy Solutions,Unknown,mumbai,undisclosed,seed funding,4.33
2692,2015-06-05,medwell ventures,Healthcarenservice Provider,Unknown,bangalore,"fidelity growth partners, fidelity biosciences",private equity,86.6
2693,2015-06-05,jugnoo,Auto Rickshaw Based Services,Unknown,chandigarh,"snow leopard, paytm",private equity,43.3
2694,2015-06-08,postergully,Artist Designer Marketplace,Unknown,delhi,"natarajan iyer,rajesh sawhney, & other angel investors.",seed funding,
2695,2015-06-08,applied solar technologies,Off-Grid Solar Power,Unknown,mumbai,"future fund,bessemer venture, capricorn investment and ifc",private equity,346.4
2696,2015-06-09,clovia,Private Label Lingerie E-commerce,Unknown,delhi,ivycap ventures,private equity,43.3
2697,2015-06-09,swiggy,Online Food Ordering,Unknown,bangalore,"norwest venture partners, saif partners, accel partners",private equity,142.89
2698,2015-06-09,paymango,Mobile Commerce Platform,Unknown,gurgaon,group of angel investors,seed funding,2.03
2699,2015-06-09,printland,Online Printing Services,Unknown,delhi,sidbi venture capital ltd,private equity,
2700,2015-06-09,teritree,Digital Marketing Services,Unknown,bangalore,kcl,seed funding,1.21
2701,2015-06-10,guiddoo,Travel Guide Mobile App,Unknown,mumbai,"pawan borle, svp fly dubai & others",seed funding,
2702,2015-06-10,voonik,Fashion E-commerce Store,Unknown,bangalore,"sequoia capital, seedfund",private equity,43.3
2703,2015-06-11,adstringo,Mobile Compression Software,Unknown,mumbai,"arihant patni, vishal khare, viswanath ramachandran",seed funding,3.03
2704,2015-06-11,faircent,Peer To Peer Lending Platform,Unknown,gurgaon,m&s partners pte. ltd,seed funding,2.16
2705,2015-06-12,la renon,Global Healthcare Products,Unknown,ahmedabad,sequoia capital,private equity,138.56
2706,2015-06-15,homelane,Home Furnishing Solutions,Unknown,bangalore,sequoia capital,private equity,433.0
2707,2015-06-15,istar,Skill Training & Placement Platform,Unknown,bangalore,unitus seed fund,private equity,
2708,2015-06-15,shippr,Intra-City Logistics Service,Unknown,bangalore,i2india pvt ltd,seed funding,4.33
2709,2015-06-16,foodabhi,Online Tiffin Service Aggregator,Unknown,mumbai,group of angel investors,seed funding,
2710,2015-06-16,karma recycling,Electronic Goods Recycling Service,Unknown,delhi,"infuse ventures, low carbon enterprise fund",private equity,
2711,2015-06-16,couponraja,Online Coupon & Comparison Platform,Unknown,mumbai,"mahesh pratapneni, pallab chatterjee & others",seed funding,4.33
2712,2015-06-17,babychakra,Parents & Kids Online Platform,Unknown,mumbai,"mumbai angels, patni family office, singapore angel network, karan maheshwari, jatin aneja, kishor ganji, roopa nath",seed funding,
2713,2015-06-17,jiffstore,Online Grocery Platform,Unknown,bangalore,"unitus seed fund, times internet",seed funding,
2714,2015-06-17,mydentist,Dental Clinic Chain,Unknown,mumbai,"lgt group, asian healthcare fund, seedfund",private equity,71.01
2715,2015-06-18,moovo,On-Demand Logistics Service,Unknown,delhi,youwecan ventures,seed funding,
2716,2015-06-18,fracktal works,3D Printer Manufacturer,Unknown,bangalore,neoteric infomatique limited,private equity,25.98
2717,2015-06-18,hansa customer equity,It Customer Engagement Consulting,Unknown,mumbai,ask pravi,private equity,43.3
2718,2015-06-18,healthifyme,Health & Fitness App,Unknown,bangalore,"gopal srinivasan, sashi reddy, amit gupta, pallav nadhani",private equity,
2719,2015-06-18,cakart,Online Education Marketplace,Unknown,bangalore,sunil maheshwari & group of investors,seed funding,
2720,2015-06-19,housejoy,Home Services Marketplace,Unknown,bangalore,matrix partners,private equity,34.64
2721,2015-06-19,fundsindia,Financial Services Platform,Unknown,chennai,"faering capital, foundation capital, inventus capital partners",private equity,95.26
2722,2015-06-20,cupick,Social Network For Artists,Unknown,bangalore,group of angel investors from us/india,seed funding,1.04
2723,2015-06-20,tracxn,Startup Funding Platform,Unknown,bangalore,"sachin bansal, bunny bansal & other investors",private equity,86.6
2724,2015-06-21,holachef,Food Delivery Platform,Unknown,mumbai,"kalaari capital, india quotient",private equity,26.85
2725,2015-06-22,elong,Data Driven Recruitment Recommendation,Unknown,bangalore,"kunal bahl, rohit bansal, blume ventures, phanindra sama, raju reddy",private equity,43.3
2726,2015-06-22,ixigo,Travel Search Engine,Unknown,gurgaon,micromax informatics,private equity,
2727,2015-06-22,skillangels,Brain Games Platform,Unknown,chennai,sprout angels llp,seed funding,
2728,2015-06-22,vidgyor,Video Advertisement Platform,Unknown,bangalore,angelprime,seed funding,4.33
2729,2015-06-22,banihal,Algorithmic Match Making Platform,Unknown,out of india,dr david cheriton,seed funding,
2730,2015-06-23,goodservice,Mobile Chat Based Concierge Service,Unknown,delhi,sequoia capital,private equity,13.86
2731,2015-06-23,treebo,Online Budget Hotel Booking Service,Unknown,bangalore,"matrix partners india, saif partners",private equity,51.96
2732,2015-06-23,edukart,Online Education Marketplace,Unknown,delhi,"holostik group, youwecan ventures, 500 startups, vijay shekhar sharma, manish kheterpal, amit patni",private equity,8.66
2733,2015-06-23,healthians,Preventive Healthcare Services,Unknown,hyderabad,youwecan ventures,seed funding,
2734,2015-06-24,labinapp,Science Learning App,Unknown,bangalore,unitus seed fund,seed funding,
2735,2015-06-24,syona cosmetics,Beauty And Wellness Platform,Unknown,chennai,chennai angels,seed funding,
2736,2015-06-24,sigrid education,Online Education Platform,Unknown,noida,oliphans capital,seed funding,
2737,2015-06-24,indix,Saas Product Intelligence Platform,Unknown,undisclosed,"nokia growth partners, ne venture partners, avalon ventures",private equity,129.9
2738,2015-06-24,the porter,Logistics Tech,Unknown,mumbai,"sequoia capital, kae capital, anupam mittal, sandeep tandon",private equity,47.63
2739,2015-06-24,retention.ai,App Analytics Platform,Unknown,bangalore,"mercury fund, anshu sharma, pratyush prasanna, robert winters & others",seed funding,4.33
2740,2015-06-25,fusion microfinance,Micro Finance Platform,Unknown,delhi,"development finance institution belgian investment company, oikocredit",private equity,74.48
2741,2015-06-25,zinka,Freight Logistics Platform,Unknown,bangalore,"accel partners, flipkart",private equity,51.96
2742,2015-06-26,creditmantri,Credit Management Services,Unknown,chennai,"idg ventures india, elevar equity, accion venture lab",private equity,21.65
2743,2015-06-26,getmypeon,Hyperlocal Handyman Services,Unknown,mumbai,undisclosed investors,seed funding,2.16
2744,2015-06-29,urbanclap,Hyperlocal Services Marketplace,Unknown,delhi,"saif partners, accel partners",private equity,86.6
2745,2015-06-29,stayglad,Beauty Services Mobile Marketplace,Unknown,bangalore,"tracxn labs, sahil barua",seed funding,
2746,2015-06-29,adwyze,Marketing Advertising Automation Platform,Unknown,bangalore,mape advisory,seed funding,8.66
2747,2015-06-29,zimmber,Hyperlocal Handyman Services,Unknown,mumbai,"naveen tiwari, mohit sa, amit gupta, piyush shah, manish dugar",seed funding,3.46
2748,2015-06-30,buttercups,Online Lingerie Platform,Unknown,bangalore,"kanwaljit singh, angie mahtaney, manoj varghese",seed funding,
2749,2015-06-30,railyatri,Railways Information Mobile App,Unknown,bangalore,"helion ventures, omidiyar network, blume ventures and ujama",private equity,
2750,2015-06-30,aagaar,Hyperlocal Grocery Delivery,Unknown,gurgaon,group of investors,seed funding,
2751,2015-06-30,flatchat,Flat Rental Mobile App,Unknown,bangalore,commonfloor,private equity,21.65
2752,2015-06-30,mycfo,Wealth Management Platform,Unknown,mumbai,sameer koticha,private equity,12.99
2753,2015-05-01,foodpanda,Online Food Delivery,Unknown,gurgaon,"goldman sachs, rocket internet",private equity,866.0
2754,2015-05-01,termsheet,Fund Raising Platform,Unknown,chennai,"anand vijay, nipun dureja, satyajit heeralal, keith rodricks, gaurav lochan, azmul haque, nikhil bagri",seed funding,0.87
2755,2015-05-04,applicate,Workforce Management Software,Unknown,bangalore,"rishi vasudev, amit gupta, rajiv nayan",seed funding,4.76
2756,2015-05-04,world art community,Online Art Marketplace,Unknown,gurgaon,viraj tyagi & others,seed funding,1.73
